time,uv_index_max (),uv_index_clear_sky_max (),sunshine_duration (s),daylight_duration (s),weather_code (wmo code),precipitation_probability_max (%),precipitation_hours (h),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_max (km/h)
2017-01-01,NaN,NaN,NaN,39441.98,NaN,NaN,0,NaN,NaN,NaN
2017-01-02,NaN,NaN,NaN,39460.16,NaN,NaN,0,NaN,NaN,NaN
2017-01-03,NaN,NaN,NaN,39479.75,NaN,NaN,0,NaN,NaN,NaN
2017-01-04,NaN,NaN,NaN,39500.72,NaN,NaN,0,NaN,NaN,NaN
2017-01-05,NaN,NaN,NaN,39523.06,NaN,NaN,0,NaN,NaN,NaN
2017-01-06,NaN,NaN,NaN,39546.74,NaN,NaN,0,NaN,NaN,NaN
2017-01-07,NaN,NaN,NaN,39571.73,NaN,NaN,0,NaN,NaN,NaN
2017-01-08,NaN,NaN,NaN,39598,NaN,NaN,0,NaN,NaN,NaN
2017-01-09,NaN,NaN,NaN,39625.61,NaN,NaN,0,NaN,NaN,NaN
2017-01-10,NaN,NaN,NaN,39654.85,NaN,NaN,0,NaN,NaN,NaN
2017-01-11,NaN,NaN,NaN,39685.72,NaN,NaN,0,NaN,NaN,NaN
2017-01-12,NaN,NaN,NaN,39718.16,NaN,NaN,0,NaN,NaN,NaN
2017-01-13,NaN,NaN,NaN,39752.11,NaN,NaN,0,NaN,NaN,NaN
2017-01-14,NaN,NaN,NaN,39787.5,NaN,NaN,0,NaN,NaN,NaN
2017-01-15,NaN,NaN,NaN,39824.28,NaN,NaN,0,NaN,NaN,NaN
2017-01-16,NaN,NaN,NaN,39862.37,NaN,NaN,0,NaN,NaN,NaN
2017-01-17,NaN,NaN,NaN,39901.71,NaN,NaN,0,NaN,NaN,NaN
2017-01-18,NaN,NaN,NaN,39942.24,NaN,NaN,0,NaN,NaN,NaN
2017-01-19,NaN,NaN,NaN,39983.91,NaN,NaN,0,NaN,NaN,NaN
2017-01-20,NaN,NaN,NaN,40026.64,NaN,NaN,0,NaN,NaN,NaN
2017-01-21,NaN,NaN,NaN,40070.38,NaN,NaN,0,NaN,NaN,NaN
2017-01-22,NaN,NaN,NaN,40115.08,NaN,NaN,0,NaN,NaN,NaN
2017-01-23,NaN,NaN,NaN,40160.66,NaN,NaN,0,NaN,NaN,NaN
2017-01-24,NaN,NaN,NaN,40207.07,NaN,NaN,0,NaN,NaN,NaN
2017-01-25,NaN,NaN,NaN,40254.26,NaN,NaN,0,NaN,NaN,NaN
2017-01-26,NaN,NaN,NaN,40302.18,NaN,NaN,0,NaN,NaN,NaN
2017-01-27,NaN,NaN,NaN,40350.74,NaN,NaN,0,NaN,NaN,NaN
2017-01-28,NaN,NaN,NaN,40399.92,NaN,NaN,0,NaN,NaN,NaN
2017-01-29,NaN,NaN,NaN,40449.74,NaN,NaN,0,NaN,NaN,NaN
2017-01-30,NaN,NaN,NaN,40500.71,NaN,NaN,0,NaN,NaN,NaN
2017-01-31,NaN,NaN,NaN,40552.87,NaN,NaN,0,NaN,NaN,NaN
2017-02-01,NaN,NaN,NaN,40606.14,NaN,NaN,0,NaN,NaN,NaN
2017-02-02,NaN,NaN,NaN,40660.45,NaN,NaN,0,NaN,NaN,NaN
2017-02-03,NaN,NaN,NaN,40715.72,NaN,NaN,0,NaN,NaN,NaN
2017-02-04,NaN,NaN,NaN,40771.89,NaN,NaN,0,NaN,NaN,NaN
2017-02-05,NaN,NaN,NaN,40828.89,NaN,NaN,0,NaN,NaN,NaN
2017-02-06,NaN,NaN,NaN,40886.66,NaN,NaN,0,NaN,NaN,NaN
2017-02-07,NaN,NaN,NaN,40945.13,NaN,NaN,0,NaN,NaN,NaN
2017-02-08,NaN,NaN,NaN,41004.22,NaN,NaN,0,NaN,NaN,NaN
